,MAKE,MODEL,MODEL_DESCRIPTION,VARIANT,YEAR,CC,HORSEPOWER,PRICE,TRANSMISSION,CURRENCY,TAX_RATE,PRICE_INCLUDE_TAX
0,DAIHATSU,CERIA,Ceria,KL Plus,2001,0.8,36,21000000.0,0,Rp,,21000000.0
1,DAIHATSU,CERIA,Ceria,KX,2001,0.8,36,21000000.0,0,Rp,,21000000.0
2,KIA,CARRENS I,Carrens I,1.8 6 Seater A/T,2000,1.8,110,25000000.0,Automatic Transmission,Rp,,25000000.0
3,KIA,CARRENS I,Carrens I,1.8 7 Seater A/T,2000,1.8,110,25000000.0,Automatic Transmission,Rp,,25000000.0
4,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2001,1.5,92,25000000.0,Automatic Transmission,Rp,,25000000.0
5,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2001,1.5,92,25000000.0,Manual Transmission,Rp,,25000000.0
6,DAIHATSU,CERIA,Ceria,KL,2001,0.8,36,27000000.0,0,Rp,,27000000.0
7,DAIHATSU,CERIA,Ceria,New KL,2003,0.8,36,27000000.0,0,Rp,,27000000.0
8,DAIHATSU,CERIA,Ceria,New KL Plus,2003,0.8,36,27000000.0,0,Rp,,27000000.0
9,DAIHATSU,CERIA,Ceria,KL Plus,2002,0.8,36,28000000.0,0,Rp,,28000000.0
10,HYUNDAI,ATOZ,Atoz,GLX 1.0 M/T,2000,1.0,54,30000000.0,Manual Transmission,Rp,,30000000.0
11,KIA,CARRENS I,Carrens I,1.8 6 Seater M/T,2000,1.8,110,30000000.0,Manual Transmission,Rp,,30000000.0
12,KIA,CARRENS I,Carrens I,1.8 6 Seater A/T,2001,1.8,110,30000000.0,Automatic Transmission,Rp,,30000000.0
13,KIA,CARRENS I,Carrens I,1.8 7 Seater A/T,2001,1.8,110,30000000.0,Automatic Transmission,Rp,,30000000.0
14,DAIHATSU,CERIA,Ceria,KL,2002,0.8,36,30000000.0,0,Rp,,30000000.0
15,DAIHATSU,CERIA,Ceria,KX,2002,0.8,36,30000000.0,0,Rp,,30000000.0
16,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2002,1.5,92,30000000.0,Automatic Transmission,Rp,,30000000.0
17,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2002,1.5,92,30000000.0,Manual Transmission,Rp,,30000000.0
